1	78	1	1	2	2	3	3	4	5	5	6	6	7	7	8	8	9	9	10	11	12
2	80	1	1	2	2	3	3	4	5	5	6	6	7	7	8	8	9	9	10	11	12
3	79	1	1	2	2	3	3	4	5	5	6	6	7	7	8	8	9	9	10	11	12
4	81	1	1	2	2	3	3	4	5	5	6	6	7	7	8	8	9	9	10	11	12
5	93	1	1	2	2	3	3	4	5	5	6	6	7	7	8	8	9	9	10	11	12
6	53	1	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	10
7	97	1	1	2	3	3	4	4	5	5	6	7	7	8	8	9	10	10	11	11	12
8	9	8	8	9	9	10	10	11	11	12	12	13	14	14	15	15	16	16	17	17	17
9	16	1	1	2	2	2	3	3	4	4	5	5	6	6	7	7	7	8	8	9	9
10	4	500	750	900	1280	1560	1800	2010	2370	2720	3050	3590	4270	4780	5950	7200	8540	10320	12400	15600	20000
11	23	1	1	1	2	2	3	3	3	3	3	4	4	4	4	4	5	5	5	5	5
12	24	1	1	1	1	2	2	2	3	3	3	4	4	4	5	5	6	6	6	6	6
13	27	1	1	2	2	3	4	4	5	5	6	6	7	7	8	8	9	10	10	11	12
14	28	1	2	2	2	2	3	3	3	4	4	4	5	5	5	5	6	6	6	7	8
15	44	5	10	15	20	25	31	36	41	46	51	56	61	67	72	77	82	87	92	97	103
16	52	1	2	2	2	2	3	3	3	3	4	4	4	4	5	5	5	6	6	6	6
17	11	10	12	15	19	22	26	31	38	45	54	60	66	73	80	88	97	108	120	133	150
18	6	2	5	8	11	13	16	19	22	25	27	30	33	36	38	41	44	47	50	52	55 
19	46	1	1	2	2	3	3	4	5	5	6	7	8	9	10	11	12	14	16	18	20 
20	63	1	1	1	2	2	3	3	4	4	5	5	6	6	7	7	8	9	10	12	15 
21	66	1	1	2	2	3	3	4	5	5	6	7	8	9	10	11	12	14	16	18	20
22	47	1	1	1	2	2	2	3	3	3	4	4	4	5	5	5	6	7	8	9	10
10	0	2	5	8	11	13	16	19	22	24	27	30	33	35	38	41	44	46	49	52	55 
17	0	2	5	7	10	12	15	17	20	23	25	27	30	32	35	37	40	42	45	47	50 
18	0	2	5	8	11	13	16	19	22	25	27	30	33	36	38	41	44	47	50	52	55 
23	0	2	5	8	11	13	16	19	22	25	27	30	33	36	38	41	44	47	50	52	55 
