85001	JOB_ASSASSIN	M	62	68	62	0	0	0.52
85001	JOB_ASSASSIN	F	62	62	62	0	0	0.45
85001	JOB_SHAMAN	M	75	75	75	0	0	0.3
85001	JOB_SHAMAN	F	65	65	65	0	0	0.43
85001	JOB_SURA	M	73	77	73	0	0	0.4
85001	JOB_SURA	F	65	70	65	0	0	0.4
85001	JOB_WARRIOR	M	78	83	78	0	0	0.3
85001	JOB_WARRIOR	F	70	70	70	0	0	0.4
85005	JOB_ASSASSIN	M	62	68	62	0	0	0.5
85005	JOB_ASSASSIN	F	62	62	62	0	0	0.45
85005	JOB_SHAMAN	M	75	75	75	0	0	0.3
85005	JOB_SHAMAN	F	65	65	65	0	0	0.43
85005	JOB_SURA	M	73	77	73	0	0	0.4
85005	JOB_SURA	F	65	70	65	0	0	0.4
85005	JOB_WARRIOR	M	78	83	78	0	0	0.27
85005	JOB_WARRIOR	F	70	70	70	0	0	0.4
85011	JOB_ASSASSIN	M	72	72	72	0	0	0.26
85011	JOB_ASSASSIN	F	54	65	62	0	0	0.38
85011	JOB_SHAMAN	M	80	80	80	0	0	0.18
85011	JOB_SHAMAN	F	72	72	72	0	0	0.26
85011	JOB_SURA	M	81	81	81	0	0	0.21
85011	JOB_SURA	F	62	72	72	0	0	0.3
85011	JOB_WARRIOR	M	83	83	83	0	0	0.15
85011	JOB_WARRIOR	F	72	72	72	0	0	0.26
85015	JOB_ASSASSIN	M	73	73	73	0	0	0.24
85015	JOB_ASSASSIN	F	54	65	62	0	0	0.38
85015	JOB_SHAMAN	M	78	78	78	0	0	0.2
85015	JOB_SHAMAN	F	62	62	62	0	0	0.45
85015	JOB_SURA	M	85	85	85	0	0	0.15
85015	JOB_SURA	F	62	62	62	0	0	0.45
85015	JOB_WARRIOR	M	83	83	83	0	0	0.14
85015	JOB_WARRIOR	F	72	75	72	0	0	0.26
85020	JOB_ASSASSIN	M	73	73	73	0	0	0.24
85020	JOB_ASSASSIN	F	54	65	62	0	0	0.38
85020	JOB_SHAMAN	M	78	78	78	0	0	0.2
85020	JOB_SHAMAN	F	62	62	62	0	0	0.48
85020	JOB_SURA	M	85	85	85	0	0	0.15
85020	JOB_SURA	F	62	62	62	0	0	0.45
85020	JOB_WARRIOR	M	83	83	83	0	0	0.14
85020	JOB_WARRIOR	F	72	75	72	0	0	0.26
85021	JOB_ASSASSIN	M	73	73	73	0	0	0.24
85021	JOB_ASSASSIN	F	54	65	62	0	0	0.38
85021	JOB_SHAMAN	M	78	78	78	0	0	0.2
85021	JOB_SHAMAN	F	62	62	62	0	0	0.48
85021	JOB_SURA	M	85	85	85	0	0	0.15
85021	JOB_SURA	F	62	62	62	0	0	0.45
85021	JOB_WARRIOR	M	83	83	83	0	0	0.14
85021	JOB_WARRIOR	F	72	75	72	0	0	0.26
86001	JOB_ASSASSIN	M	73	73	73	0	0	0.24
86001	JOB_ASSASSIN	F	54	65	62	0	0	0.38
86001	JOB_SHAMAN	M	78	78	78	0	0	0.2
86001	JOB_SHAMAN	F	62	62	62	0	0	0.45
86001	JOB_SURA	M	85	85	85	0	0	0.15
86001	JOB_SURA	F	62	62	62	0	0	0.45
86001	JOB_WARRIOR	M	83	83	83	0	0	0.14
86001	JOB_WARRIOR	F	72	75	72	0	0	0.26
86005	JOB_ASSASSIN	M	73	73	73	0	0	0.24
86005	JOB_ASSASSIN	F	54	65	62	0	0	0.38
86005	JOB_SHAMAN	M	78	78	78	0	0	0.2
86005	JOB_SHAMAN	F	62	62	62	0	0	0.45
86005	JOB_SURA	M	85	85	85	0	0	0.15
86005	JOB_SURA	F	62	62	62	0	0	0.45
86005	JOB_WARRIOR	M	83	83	83	0	0	0.14
86005	JOB_WARRIOR	F	72	75	72	0	0	0.26
86011	JOB_ASSASSIN	M	73	73	73	0	0	0.24
86011	JOB_ASSASSIN	F	54	65	62	0	0	0.38
86011	JOB_SHAMAN	M	78	78	78	0	0	0.2
86011	JOB_SHAMAN	F	62	62	62	0	0	0.45
86011	JOB_SURA	M	85	85	85	0	0	0.15
86011	JOB_SURA	F	62	62	62	0	0	0.45
86011	JOB_WARRIOR	M	83	83	83	0	0	0.14
86011	JOB_WARRIOR	F	72	75	72	0	0	0.26
86015	JOB_ASSASSIN	M	73	73	73	0	0	0.24
86015	JOB_ASSASSIN	F	54	65	62	0	0	0.38
86015	JOB_SHAMAN	M	78	78	78	0	0	0.2
86015	JOB_SHAMAN	F	62	62	62	0	0	0.45
86015	JOB_SURA	M	85	85	85	0	0	0.15
86015	JOB_SURA	F	62	62	62	0	0	0.45
86015	JOB_WARRIOR	M	83	83	83	0	0	0.14
86015	JOB_WARRIOR	F	72	75	72	0	0	0.26
86021	JOB_ASSASSIN	M	73	73	73	0	0	0.24
86021	JOB_ASSASSIN	F	54	65	62	0	0	0.38
86021	JOB_SHAMAN	M	78	78	78	0	0	0.2
86021	JOB_SHAMAN	F	62	62	62	0	0	0.45
86021	JOB_SURA	M	85	85	85	0	0	0.15
86021	JOB_SURA	F	62	62	62	0	0	0.45
86021	JOB_WARRIOR	M	83	83	83	0	0	0.14
86021	JOB_WARRIOR	F	72	75	72	0	0	0.26
86025	JOB_ASSASSIN	M	73	73	73	0	0	0.24
86025	JOB_ASSASSIN	F	54	65	62	0	0	0.38
86025	JOB_SHAMAN	M	78	78	78	0	0	0.2
86025	JOB_SHAMAN	F	62	62	62	0	0	0.45
86025	JOB_SURA	M	85	85	85	0	0	0.15
